17-May-2018-15:41:17 [Visit.ComponentHelper.GenericHelper] [INFO] [TakeScreenShot] -  ScreenShot Taken : Screen2018-05-17-41-17.jpeg
17-May-2018-15:41:17 [Visit.ComponentHelper.GenericHelper] [INFO] [WaitForWebElementInPage] -  Setting the Explicit wait to 1 sec 
17-May-2018-15:41:17 [Visit.ComponentHelper.GenericHelper] [INFO] [GetWebdriverWait] -  Wait Object Created 
17-May-2018-15:41:21 [Visit.BaseClasses.BaseClass] [INFO] [TearDown] -  Stopping the Driver  
17-May-2018-15:56:42 [Visit.BaseClasses.BaseClass] [INFO] [GetChromeOptions] -  Using Chrome Options 
17-May-2018-15:56:51 [Visit.BaseClasses.BaseClass] [INFO] [InitWebdriver] -  Using Chrome Driver  
17-May-2018-15:56:53 [Visit.ComponentHelper.BrowserHelper] [INFO] [BrowserMaximize] -  Browser Maximize 
17-May-2018-15:57:20 [Visit.ComponentHelper.NavigationHelper] [INFO] [NavigateToUrl] -  Navigate To Page http://qa.visitlondon.com//things-to-do/whats-on/special-events/london-events-calendar
17-May-2018-15:57:21 [Visit.ComponentHelper.GenericHelper] [INFO] [TakeScreenShot] -  ScreenShot Taken : Screen2018-05-17-57-20.jpeg
17-May-2018-15:57:25 [Visit.BaseClasses.BaseClass] [INFO] [TearDown] -  Stopping the Driver  
17-May-2018-15:57:48 [Visit.BaseClasses.BaseClass] [INFO] [GetChromeOptions] -  Using Chrome Options 
17-May-2018-15:58:03 [Visit.BaseClasses.BaseClass] [INFO] [InitWebdriver] -  Using Chrome Driver  
17-May-2018-15:58:04 [Visit.ComponentHelper.BrowserHelper] [INFO] [BrowserMaximize] -  Browser Maximize 
17-May-2018-15:59:56 [Visit.ComponentHelper.NavigationHelper] [INFO] [NavigateToUrl] -  Navigate To Page http://qa.visitlondon.com//things-to-do/whats-on/special-events/london-events-calendar
17-May-2018-16:00:05 [Visit.ComponentHelper.GenericHelper] [INFO] [TakeScreenShot] -  ScreenShot Taken : Screen2018-05-17-00-05.jpeg
17-May-2018-16:02:01 [Visit.BaseClasses.BaseClass] [INFO] [GetChromeOptions] -  Using Chrome Options 
17-May-2018-16:02:19 [Visit.BaseClasses.BaseClass] [INFO] [InitWebdriver] -  Using Chrome Driver  
17-May-2018-16:02:21 [Visit.ComponentHelper.BrowserHelper] [INFO] [BrowserMaximize] -  Browser Maximize 
17-May-2018-16:04:34 [Visit.ComponentHelper.NavigationHelper] [INFO] [NavigateToUrl] -  Navigate To Page http://qa.visitlondon.com//things-to-do/whats-on/special-events/london-events-calendar
17-May-2018-16:04:47 [Visit.ComponentHelper.GenericHelper] [INFO] [TakeScreenShot] -  ScreenShot Taken : Screen2018-05-17-04-47.jpeg
17-May-2018-16:11:23 [Visit.BaseClasses.BaseClass] [INFO] [GetChromeOptions] -  Using Chrome Options 
17-May-2018-16:11:45 [Visit.BaseClasses.BaseClass] [INFO] [InitWebdriver] -  Using Chrome Driver  
17-May-2018-16:11:46 [Visit.ComponentHelper.BrowserHelper] [INFO] [BrowserMaximize] -  Browser Maximize 
17-May-2018-16:29:24 [Visit.ComponentHelper.NavigationHelper] [INFO] [NavigateToUrl] -  Navigate To Page http://qa.visitlondon.com//things-to-do/whats-on/special-events/london-events-calendar
17-May-2018-16:41:07 [Visit.ComponentHelper.GenericHelper] [INFO] [TakeScreenShot] -  ScreenShot Taken : Screen2018-05-17-41-06.jpeg
17-May-2018-16:41:41 [Visit.BaseClasses.BaseClass] [INFO] [TearDown] -  Stopping the Driver  
17-May-2018-16:42:12 [Visit.BaseClasses.BaseClass] [INFO] [GetChromeOptions] -  Using Chrome Options 
17-May-2018-16:42:17 [Visit.BaseClasses.BaseClass] [INFO] [InitWebdriver] -  Using Chrome Driver  
17-May-2018-16:42:18 [Visit.ComponentHelper.BrowserHelper] [INFO] [BrowserMaximize] -  Browser Maximize 
17-May-2018-16:42:40 [Visit.ComponentHelper.NavigationHelper] [INFO] [NavigateToUrl] -  Navigate To Page http://qa.visitlondon.com//things-to-do/whats-on/special-events/london-events-calendar
17-May-2018-16:42:42 [Visit.ComponentHelper.GenericHelper] [INFO] [TakeScreenShot] -  ScreenShot Taken : Screen2018-05-17-42-41.jpeg
17-May-2018-16:42:47 [Visit.BaseClasses.BaseClass] [INFO] [TearDown] -  Stopping the Driver  
18-May-2018-11:33:34 [Visit.TestScript.Log4Net.TestLogger] [INFO] [TestLog4NetSec] - This is Info Information
18-May-2018-11:33:34 [Visit.TestScript.Log4Net.TestLogger] [WARN] [TestLog4NetSec] - This is Warn Information
18-May-2018-11:33:34 [Visit.TestScript.Log4Net.TestLogger] [ERROR] [TestLog4NetSec] - This is Error Information
18-May-2018-11:33:34 [Visit.TestScript.Log4Net.TestLogger] [FATAL] [TestLog4NetSec] - This is Fatal Information
18-May-2018-11:33:34 [Visit.TestScript.Log4Net.TestLogger] [INFO] [TestLog4NetSec] - This is Info Information
18-May-2018-11:33:34 [Visit.TestScript.Log4Net.TestLogger] [WARN] [TestLog4NetSec] - This is Warn Information
18-May-2018-11:33:34 [Visit.TestScript.Log4Net.TestLogger] [ERROR] [TestLog4NetSec] - This is Error Information
18-May-2018-11:33:34 [Visit.TestScript.Log4Net.TestLogger] [FATAL] [TestLog4NetSec] - This is Fatal Information
18-May-2018-11:33:34 [Visit.TestScript.Log4Net.TestLogger] [INFO] [TestLog4NetSec] - This is Info Information
18-May-2018-11:33:34 [Visit.TestScript.Log4Net.TestLogger] [WARN] [TestLog4NetSec] - This is Warn Information
18-May-2018-11:33:34 [Visit.TestScript.Log4Net.TestLogger] [ERROR] [TestLog4NetSec] - This is Error Information
18-May-2018-11:33:34 [Visit.TestScript.Log4Net.TestLogger] [FATAL] [TestLog4NetSec] - This is Fatal Information
18-May-2018-11:33:34 [Visit.TestScript.Log4Net.TestLogger] [INFO] [TestLog4NetSec] - This is Info Information
18-May-2018-11:33:34 [Visit.TestScript.Log4Net.TestLogger] [WARN] [TestLog4NetSec] - This is Warn Information
